,subject,sex,T3_AGE,trial,recall,skill
144.4,3039,Male,82.22861054,4,22,9
144.5,3039,Male,82.22861054,5,19,11
144.6,3039,Male,82.22861054,6,21,10
145,3040,Female,81.09787817,0,2,6
145.1,3040,Female,81.09787817,1,4,7
145.2,3040,Female,81.09787817,2,9,7
145.3,3040,Female,81.09787817,3,9,7
145.4,3040,Female,81.09787817,4,9,10
145.5,3040,Female,81.09787817,5,13,10
145.6,3040,Female,81.09787817,6,15,10
148,3043,Male,70.50787132,0,6,10
148.1,3043,Male,70.50787132,1,12,12
148.2,3043,Male,70.50787132,2,17,14
148.3,3043,Male,70.50787132,3,19,15
148.4,3043,Male,70.50787132,4,20,14
148.5,3043,Male,70.50787132,5,23,15
148.6,3043,Male,70.50787132,6,24,16
150,3045,Female,83.78370979,0,9,2
150.1,3045,Female,83.78370979,1,11,3
150.2,3045,Female,83.78370979,2,13,4
150.3,3045,Female,83.78370979,3,12,4
150.4,3045,Female,83.78370979,4,16,7
150.5,3045,Female,83.78370979,5,18,9
150.6,3045,Female,83.78370979,6,19,10
152,3047,Male,84.65434634,0,3,5
152.1,3047,Male,84.65434634,1,11,7
152.2,3047,Male,84.65434634,2,16,11
152.3,3047,Male,84.65434634,3,14,13
152.4,3047,Male,84.65434634,4,16,14
152.5,3047,Male,84.65434634,5,17,14
152.6,3047,Male,84.65434634,6,25,13
153,3048,Male,74.90485969,0,6,6
153.1,3048,Male,74.90485969,1,12,9
153.2,3048,Male,74.90485969,2,14,12
153.3,3048,Male,74.90485969,3,13,11
153.4,3048,Male,74.90485969,4,16,11
153.5,3048,Male,74.90485969,5,17,13
153.6,3048,Male,74.90485969,6,18,12
154,3049,Male,75.8329911,0,5,1
154.1,3049,Male,75.8329911,1,11,3
154.2,3049,Male,75.8329911,2,11,4
154.3,3049,Male,75.8329911,3,12,6
154.4,3049,Male,75.8329911,4,11,3
154.5,3049,Male,75.8329911,5,12,5
154.6,3049,Male,75.8329911,6,16,5
162,3058,Male,77.67556468,0,11,8
162.1,3058,Male,77.67556468,1,13,9
